LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760380199.118551,213992.000,33548,3,PI,1,100,168126
1760380199.158552,214032.000,33548,3,PI,1,100,168133
1760380199.198552,214072.000,33548,3,PI,1,100,168132
1760380199.238553,214112.000,33567,2,PI,1,100,168132
1760380199.278553,214152.000,33567,2,PI,1,100,168149
1760380199.318553,214192.000,33583,3,PI,1,100,168144
1760380199.358554,214232.000,33583,3,PI,1,100,168155
1760380199.398554,214272.000,33583,3,PI,1,100,168174
1760380199.438555,214312.000,33601,2,PI,1,100,168178
1760380199.478555,214352.000,33601,2,PI,1,100,168167
1760380199.518556,214392.000,33617,3,PI,1,100,168146
1760380199.558556,214432.000,33617,3,PI,1,100,168143
1760380199.598557,214472.000,33617,3,PI,1,100,168173
1760380199.638557,214512.000,33634,2,PI,1,100,168162
1760380199.678557,214552.000,33634,2,PI,1,100,168157
1760380199.718558,214592.000,33650,3,PI,1,100,168164
1760380199.758558,214632.000,33650,3,PI,1,100,168159
1760380199.798559,214672.000,33650,3,PI,1,100,168170
1760380199.838559,214712.000,33669,2,PI,1,100,168157
1760380199.878560,214752.000,33669,2,PI,1,100,168149
1760380199.918560,214792.000,33684,3,PI,1,100,168161
1760380199.958560,214832.000,33684,3,PI,1,100,168164
1760380199.998561,214872.000,33684,3,PI,1,100,168157
1760380200.038561,214912.000,33701,2,PI,1,100,168175
1760380200.078562,214952.000,33701,2,PI,1,100,168188
1760380200.118562,214992.000,33718,3,PI,1,100,168170
1760380200.158563,215032.000,33718,3,PI,1,100,168187
1760380200.198563,215072.000,33718,3,PI,1,100,168197
1760380200.238564,215112.000,33737,2,PI,1,100,168190
1760380200.278564,215152.000,33737,2,PI,1,100,168203
1760380200.318564,215192.000,33751,3,PI,1,100,168199
1760380200.358565,215232.000,33751,3,PI,1,100,168203
1760380200.398565,215272.000,33751,3,PI,1,100,168195
1760380200.438566,215312.000,33769,2,PI,1,100,168178
1760380200.478566,215352.000,33769,2,PI,1,100,168178
1760380200.518567,215392.000,33785,3,PI,1,100,168177
1760380200.558567,215432.000,33785,3,PI,1,100,168156
1760380200.598567,215472.000,33785,3,PI,1,100,168164
1760380200.638568,215512.000,33802,3,PI,1,100,168183
1760380200.678568,215552.000,33802,3,PI,1,100,168171
1760380200.718569,215592.000,33802,3,PI,1,100,168167
1760380200.758569,215632.000,33819,2,PI,1,100,168196
1760380200.798570,215672.000,33819,2,PI,1,100,168185
1760380200.838570,215712.000,33836,3,PI,1,100,168166
1760380200.878571,215752.000,33836,3,PI,1,100,168188
1760380200.918571,215792.000,33836,3,PI,1,100,168187
1760380200.958572,215832.000,33854,2,PI,1,100,168183
1760380200.998572,215872.000,33854,2,PI,1,100,168196
1760380201.038573,215912.000,33871,3,PI,1,100,168189
1760380201.078573,215952.000,33871,3,PI,1,100,168181
1760380201.118573,215992.000,33871,3,PI,1,100,168215
1760380201.158574,216032.000,33886,2,PI,1,100,168204
1760380201.198574,216072.000,33886,2,PI,1,100,168192
1760380201.238575,216112.000,33903,3,PI,1,100,168206
1760380201.278575,216152.000,33903,3,PI,1,100,168195
1760380201.318576,216192.000,33903,3,PI,1,100,168186
1760380201.358576,216232.000,33919,2,PI,1,100,168178
1760380201.398576,216272.000,33919,2,PI,1,100,168186
1760380201.438577,216312.000,33939,3,PI,1,100,168184
1760380201.478577,216352.000,33939,3,PI,1,100,168168
1760380201.518578,216392.000,33939,3,PI,1,100,168176
1760380201.558578,216432.000,33953,2,PI,1,100,168177
1760380201.598579,216472.000,33953,2,PI,1,100,168175
1760380201.638579,216512.000,33975,4,PI,1,100,168177
1760380201.678580,216552.000,33975,4,PI,1,100,168179
1760380201.718580,216592.000,33975,4,PI,1,100,168166
1760380201.758580,216632.000,33975,4,PI,1,100,168172
1760380201.798581,216672.000,33992,3,PI,1,100,168181
1760380201.838581,216712.000,33992,3,PI,1,100,168189
1760380201.878582,216752.000,33992,3,PI,1,100,168186
1760380201.918582,216792.000,34009,2,PI,1,100,168206
1760380201.958583,216832.000,34009,2,PI,1,100,168206
1760380201.998583,216872.000,34027,3,PI,1,100,168209
1760380202.038584,216912.000,34027,3,PI,1,100,168205
1760380202.078584,216952.000,34027,3,PI,1,100,168215
1760380202.118584,216992.000,34045,2,PI,1,100,168213
1760380202.158585,217032.000,34045,2,PI,1,100,168194
1760380202.198585,217072.000,34061,3,PI,1,100,168194
1760380202.238586,217112.000,34061,3,PI,1,100,168198
1760380202.278586,217152.000,34061,3,PI,1,100,168195
1760380202.318587,217192.000,34078,2,PI,1,100,168180
1760380202.358587,217232.000,34078,2,PI,1,100,168188
1760380202.398587,217272.000,34097,3,PI,1,100,168176
1760380202.438588,217312.000,34097,3,PI,1,100,168161
1760380202.478588,217352.000,34097,3,PI,1,100,168182
1760380202.518589,217392.000,34114,2,PI,1,100,168173
1760380202.558589,217432.000,34114,2,PI,1,100,168181
1760380202.598256,217471.667,34130,3,PI,1,100,168184
1760380202.637923,217511.333,34130,3,PI,1,100,168198
