LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760381805.933394,1110821.000,51274,2,MX,1,100,-57
1760381805.973394,1110861.000,51274,2,MX,1,100,-57
1760381806.013395,1110901.000,51292,3,MX,1,100,-57
1760381806.053395,1110941.000,51292,3,MX,1,100,-57
1760381806.093396,1110981.000,51292,3,MX,1,100,-57
1760381806.133396,1111021.000,51308,2,MX,1,100,-57
1760381806.173397,1111061.000,51308,2,MX,1,100,-58
1760381806.213397,1111101.000,51327,3,MX,1,100,-59
1760381806.253398,1111141.000,51327,3,MX,1,100,-59
1760381806.293398,1111181.000,51327,3,MX,1,100,-56
1760381806.333399,1111221.000,51344,3,MX,1,100,-54
1760381806.373399,1111261.000,51344,3,MX,1,100,-52
1760381806.413400,1111301.000,51344,3,MX,1,100,-52
1760381806.446900,1111334.500,51361,2,MX,1,100,-52
1760381806.480401,1111368.000,51361,2,MX,1,100,-52
1760381806.520401,1111408.000,51375,3,MX,1,100,-52
1760381806.560402,1111448.000,51375,3,MX,1,100,-52
1760381806.600402,1111488.000,51375,3,MX,1,100,-55
1760381806.640403,1111528.000,51395,3,MX,1,100,-55
1760381806.680403,1111568.000,51395,3,MX,1,100,-56
1760381806.720404,1111608.000,51395,3,MX,1,100,-58
1760381806.760404,1111648.000,51411,2,MX,1,100,-57
1760381806.800405,1111688.000,51411,2,MX,1,100,-58
1760381806.840405,1111728.000,51428,3,MX,1,100,-58
1760381806.880406,1111768.000,51428,3,MX,1,100,-57
1760381806.920406,1111808.000,51428,3,MX,1,100,-58
1760381806.960407,1111848.000,51444,2,MX,1,100,-58
1760381807.000407,1111888.000,51444,2,MX,1,100,-59
1760381807.040408,1111928.000,51469,4,MX,1,100,-55
1760381807.080408,1111968.000,51469,4,MX,1,100,-54
1760381807.120409,1112008.000,51469,4,MX,1,100,-51
1760381807.160409,1112048.000,51469,4,MX,1,100,-52
1760381807.200410,1112088.000,51485,2,MX,1,100,-50
1760381807.240410,1112128.000,51485,2,MX,1,100,-50
1760381807.280411,1112168.000,51503,3,MX,1,100,-52
1760381807.320411,1112208.000,51503,3,MX,1,100,-52
1760381807.360412,1112248.000,51503,3,MX,1,100,-53
1760381807.400412,1112288.000,51519,2,MX,1,100,-55
1760381807.440413,1112328.000,51519,2,MX,1,100,-56
1760381807.480413,1112368.000,51536,3,MX,1,100,-58
1760381807.520414,1112408.000,51536,3,MX,1,100,-57
1760381807.560414,1112448.000,51536,3,MX,1,100,-58
1760381807.600415,1112488.000,51550,2,MX,1,100,-58
1760381807.640415,1112528.000,51550,2,MX,1,100,-58
1760381807.680416,1112568.000,51570,3,MX,1,100,-59
1760381807.720416,1112608.000,51570,3,MX,1,100,-59
1760381807.760417,1112648.000,51570,3,MX,1,100,-57
1760381807.800417,1112688.000,51586,3,MX,1,100,-55
1760381807.840418,1112728.000,51586,3,MX,1,100,-51
1760381807.880418,1112768.000,51586,3,MX,1,100,-50
1760381807.920419,1112808.000,51603,2,MX,1,100,-50
1760381807.960419,1112848.000,51603,2,MX,1,100,-49
1760381808.000420,1112888.000,51620,3,MX,1,100,-50
1760381808.040420,1112928.000,51620,3,MX,1,100,-52
1760381808.080421,1112968.000,51620,3,MX,1,100,-51
1760381808.120421,1113008.000,51639,2,MX,1,100,-52
1760381808.160422,1113048.000,51639,2,MX,1,100,-55
1760381808.200422,1113088.000,51655,3,MX,1,100,-56
1760381808.240423,1113128.000,51655,3,MX,1,100,-58
1760381808.280423,1113168.000,51655,3,MX,1,100,-58
1760381808.320424,1113208.000,51673,2,MX,1,100,-59
1760381808.360424,1113248.000,51673,2,MX,1,100,-59
1760381808.400425,1113288.000,51687,3,MX,1,100,-58
1760381808.440425,1113328.000,51687,3,MX,1,100,-59
1760381808.480426,1113368.000,51687,3,MX,1,100,-57
1760381808.520426,1113408.000,51706,2,MX,1,100,-58
1760381808.560427,1113448.000,51706,2,MX,1,100,-56
1760381808.600427,1113488.000,51724,3,MX,1,100,-53
1760381808.640428,1113528.000,51724,3,MX,1,100,-52
1760381808.680428,1113568.000,51724,3,MX,1,100,-52
1760381808.720429,1113608.000,51742,3,MX,1,100,-49
1760381808.760429,1113648.000,51742,3,MX,1,100,-49
1760381808.800430,1113688.000,51742,3,MX,1,100,-50
1760381808.840430,1113728.000,51757,2,MX,1,100,-52
1760381808.880431,1113768.000,51757,2,MX,1,100,-53
1760381808.920431,1113808.000,51775,3,MX,1,100,-55
1760381808.960432,1113848.000,51775,3,MX,1,100,-57
1760381809.000432,1113888.000,51775,3,MX,1,100,-58
1760381809.040433,1113928.000,51792,2,MX,1,100,-58
1760381809.080433,1113968.000,51792,2,MX,1,100,-57
1760381809.120434,1114008.000,51809,3,MX,1,100,-57
1760381809.160434,1114048.000,51809,3,MX,1,100,-57
1760381809.200435,1114088.000,51809,3,MX,1,100,-58
1760381809.240435,1114128.000,51825,2,MX,1,100,-58
1760381809.280436,1114168.000,51825,2,MX,1,100,-59
1760381809.320436,1114208.000,51841,3,MX,1,100,-58
1760381809.360437,1114248.000,51841,3,MX,1,100,-56
1760381809.400438,1114288.000,51841,3,MX,1,100,-53
1760381809.440438,1114328.000,51857,2,MX,1,100,-53
1760381809.480438,1114368.000,51857,2,MX,1,100,-53
1760381809.520439,1114408.000,51876,3,MX,1,100,-51
1760381809.560440,1114448.000,51876,3,MX,1,100,-52
1760381809.600440,1114488.000,51876,3,MX,1,100,-52
1760381809.640440,1114528.000,51893,2,MX,1,100,-53
